,model,lookback,hidden_size,num_layers,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
10,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.2,0.0,0.001,0.95,0.4486625,0.5513375,2.6207857778713426,1.3502625,108021,131979,25,537.7725806451613,29.890729999999998,"TitForTat,OmegaTFT"
11,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.2,0.0,0.001,0.99,0.580175,0.419825,3.6263654900112976,1.4214125,113713,126287,25,563.2080645161291,26.409102,"TitForTat,OmegaTFT"
12,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.05,0.0,0.01,0.95,0.7901625,0.2098375,0.7256487229865726,2.5266625,202133,37867,27,481.6677419354839,37.609939000000004,"TitForTat,OmegaTFT"
13,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.05,0.0,0.01,0.99,0.409675,0.590325,2.9473052426388784,1.425725,114058,125942,29,467.21451612903223,31.247334000000002,"TitForTat,OmegaTFT"
14,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.05,0.0,0.001,0.95,0.0253,0.9747,0.605711482700711,1.064375,85150,154850,29,450.741935483871,36.97301100000001,"TitForTat,OmegaTFT"
15,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.05,0.0,0.001,0.99,0.7498,0.2502,4.3270663980768385,1.2995875,103967,136033,25,540.2145161290323,41.53544099999999,"TitForTat,OmegaTFT"
16,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.1,0.0,0.01,0.95,0.8012625,0.1987375,0.8504582446151994,2.6141625,209133,30867,25,632.6612903225806,31.749883000000004,"TitForTat,OmegaTFT"
17,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.1,0.0,0.01,0.99,0.4772125,0.5227875,3.262016533751716,1.4678125,117425,122575,25,585.5483870967741,26.959184,"TitForTat,OmegaTFT"
18,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.1,0.0,0.001,0.95,0.4389875,0.5610125,2.7976171462968717,1.86935,149548,90452,25,554.2854838709677,28.299631,"TitForTat,OmegaTFT"
19,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.1,0.0,0.001,0.99,0.4661625,0.5338375,3.1889031680535234,1.407375,112590,127410,27,478.85,31.446748,"TitForTat,OmegaTFT"
20,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.2,0.0,0.01,0.95,0.528825,0.471175,1.7605287721328158,1.569275,125542,114458,25,558.9564516129033,30.270086000000003,"TitForTat,OmegaTFT"
21,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.2,0.0,0.01,0.99,0.4675875,0.5324125,3.1678778558307314,1.453325,116266,123734,26,530.3306451612904,36.17188100000001,"TitForTat,OmegaTFT"
22,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.2,0.0,0.001,0.95,0.38775,0.61225,2.50969924252496,1.2931375,103451,136549,25,627.8,33.45287099999999,"TitForTat,OmegaTFT"
23,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,2,0.2,0.0,0.001,0.99,0.507475,0.492525,2.951682384220723,1.297025,103762,136238,25,519.2064516129033,33.620981,"TitForTat,OmegaTFT"
24,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.05,0.0,0.01,0.95,0.9172,0.0828,1.1334428314831861,2.8583875,228671,11329,25,620.9596774193549,31.65423,"TitForTat,OmegaTFT"
25,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.05,0.0,0.01,0.99,0.378825,0.621175,2.677261866060749,1.3454,107632,132368,26,492.1532258064516,36.43957399999999,"TitForTat,OmegaTFT"
26,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.05,0.0,0.001,0.95,0.0245375,0.9754625,0.6599968817139088,1.063775,85102,154898,28,457.5741935483871,119.71001,"TitForTat,OmegaTFT"
27,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.05,0.0,0.001,0.99,0.3962,0.6038,3.311621812003835,1.515375,121230,118770,25,642.4822580645161,57.260881999999995,"TitForTat,OmegaTFT"
28,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.1,0.0,0.01,0.95,0.8157125,0.1842875,0.6481407218387404,2.6640125,213121,26879,25,608.3532258064516,47.632132000000006,"TitForTat,OmegaTFT"
29,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.1,0.0,0.01,0.99,0.435925,0.564075,3.285299263426682,1.506125,120490,119510,25,556.2403225806452,51.01597699999999,"TitForTat,OmegaTFT"
30,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.1,0.0,0.001,0.95,0.5550625,0.4449375,3.573159121288763,2.1271875,170175,69825,25,656.9790322580645,95.07576599999999,"TitForTat,OmegaTFT"
31,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.1,0.0,0.001,0.99,0.5056625,0.4943375,3.5564786844920433,1.4967375,119739,120261,25,651.5354838709677,1889.8489570000002,"TitForTat,OmegaTFT"
32,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.2,0.0,0.01,0.95,0.4514,0.5486,1.7096385121523174,1.573925,125914,114086,25,608.7048387096775,37.43389200000001,"TitForTat,OmegaTFT"
33,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.2,0.0,0.01,0.99,0.4473625,0.5526375,3.268826740626582,1.50435,120348,119652,26,511.39354838709676,34.808088,"TitForTat,OmegaTFT"
34,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.2,0.0,0.001,0.95,0.4409125,0.5590875,2.622008268516627,1.3609875,108879,131121,25,519.0709677419355,32.71502,"TitForTat,OmegaTFT"
35,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,3,0.2,0.0,0.001,0.99,0.4152,0.5848,3.0269852169625384,1.3629875,109039,130961,25,509.5709677419355,33.76284100000001,"TitForTat,OmegaTFT"
36,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.05,0.0,0.01,0.95,0.9275125,0.0724875,1.066198736268984,2.8746,229968,10032,25,640.2790322580645,22.962522,"TitForTat,OmegaTFT"
37,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.05,0.0,0.01,0.99,0.59915,0.40085,3.086541797810333,1.3902375,111219,128781,26,488.4725806451613,24.413055999999994,"TitForTat,OmegaTFT"
38,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.05,0.0,0.001,0.95,0.0975,0.9025,0.9210424066434798,1.091625,87330,152670,29,468.1645161290323,24.707585999999996,"TitForTat,OmegaTFT"
39,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.05,0.0,0.001,0.99,0.469325,0.530675,2.718819337640678,1.2787375,102299,137701,25,584.5048387096774,25.614094,"TitForTat,OmegaTFT"
40,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.1,0.0,0.01,0.95,0.7547125,0.2452875,1.0935436497065765,2.507,200560,39440,25,638.2080645161291,23.91337600000001,"TitForTat,OmegaTFT"
41,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.1,0.0,0.01,0.99,0.6287625,0.3712375,3.023832299429549,1.3224875,105799,134201,25,514.1354838709677,23.899266000000008,"TitForTat,OmegaTFT"
42,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.1,0.0,0.001,0.95,0.2325125,0.7674875,1.6373781604731001,1.1884625,95077,144923,26,510.28225806451616,21.364469999999997,"TitForTat,OmegaTFT"
43,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.1,0.0,0.001,0.99,0.7343125,0.2656875,3.740974966720125,1.4419375,115355,124645,25,584.5370967741935,24.321489000000003,"TitForTat,OmegaTFT"
44,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.2,0.0,0.01,0.95,0.5738875,0.4261125,1.6721207038834383,1.584375,126750,113250,25,547.5951612903226,23.008289000000005,"TitForTat,OmegaTFT"
45,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.2,0.0,0.01,0.99,0.567125,0.432875,3.121493746168995,1.378825,110306,129694,25,519.3661290322581,21.740211,"TitForTat,OmegaTFT"
46,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.2,0.0,0.001,0.95,0.52905,0.47095,2.240659211784173,1.22125,97700,142300,25,491.14677419354837,26.957451,"TitForTat,OmegaTFT"
47,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,1,0.2,0.0,0.001,0.99,0.6345125,0.3654875,3.2849786282884095,1.3563125,108505,131495,25,541.0048387096774,22.483472999999996,"TitForTat,OmegaTFT"
48,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.05,0.0,0.01,0.95,0.532025,0.467975,0.9923133631524245,1.78475,142780,97220,25,607.6967741935484,26.093038000000004,"TitForTat,OmegaTFT"
49,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.05,0.0,0.01,0.99,0.518725,0.481275,2.9358471183969654,1.361725,108938,131062,26,500.8983870967742,31.61414799999999,"TitForTat,OmegaTFT"
50,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.05,0.0,0.001,0.95,0.4647625,0.5352375,1.9873005885590032,1.9502375,156019,83981,25,592.6935483870968,27.887556999999997,"TitForTat,OmegaTFT"
51,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.05,0.0,0.001,0.99,0.316025,0.683975,2.4895193844599186,1.2985875,103887,136113,25,495.47903225806454,30.992587,"TitForTat,OmegaTFT"
52,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.1,0.0,0.01,0.95,0.6775625,0.3224375,1.2764672730835585,2.1837375,174699,65301,25,638.8483870967742,29.321419,"TitForTat,OmegaTFT"
53,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.1,0.0,0.01,0.99,0.4767875,0.5232125,3.115394896041604,1.4504375,116035,123965,25,593.5935483870968,28.569773,"TitForTat,OmegaTFT"
54,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.1,0.0,0.001,0.95,0.75975,0.24025,3.0035631118025115,2.557075,204566,35434,25,575.0306451612903,29.143574999999995,"TitForTat,OmegaTFT"
55,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.1,0.0,0.001,0.99,0.563325,0.436675,3.2837700111947967,1.4067125,112537,127463,25,619.4822580645161,29.999656000000005,"TitForTat,OmegaTFT"
56,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.2,0.0,0.01,0.95,0.5033,0.4967,1.5523574254092525,1.5560125,124481,115519,25,573.2435483870968,28.674497999999996,"TitForTat,OmegaTFT"
57,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.2,0.0,0.01,0.99,0.508175,0.491825,3.0611592449948146,1.397025,111762,128238,25,617.6629032258064,30.543959,"TitForTat,OmegaTFT"
58,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.2,0.0,0.001,0.95,0.481875,0.518125,2.2591670782144258,1.23125,98500,141500,26,480.9532258064516,27.200325000000003,"TitForTat,OmegaTFT"
59,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=2, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,2,0.2,0.0,0.001,0.99,0.56145,0.43855,2.8920268172654424,1.2723125,101785,138215,30,437.3725806451613,27.741211000000007,"TitForTat,OmegaTFT"
60,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.05,0.0,0.01,0.95,0.7103625,0.2896375,0.8071424822160936,2.3546,188368,51632,25,647.1112903225807,36.878789,"TitForTat,OmegaTFT"
61,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.05,0.0,0.01,0.99,0.398975,0.601025,2.9076616687615564,1.4475625,115805,124195,25,653.1645161290322,36.02522700000001,"TitForTat,OmegaTFT"
62,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.05,0.0,0.001,0.95,0.5001,0.4999,2.2249412346479627,2.0217625,161741,78259,25,647.9338709677419,37.600497000000004,"TitForTat,OmegaTFT"
63,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.05,0.0,0.001,0.99,0.2907,0.7093,2.3842892267696842,1.2868,102944,137056,26,471.0774193548387,33.671216,"TitForTat,OmegaTFT"
64,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.1,0.0,0.01,0.95,0.6445,0.3555,1.185075653627655,2.180425,174434,65566,27,484.8983870967742,33.81294799999999,"TitForTat,OmegaTFT"
65,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.1,0.0,0.01,0.99,0.4915,0.5085,2.979975400883109,1.378075,110246,129754,25,657.3935483870968,34.71165700000001,"TitForTat,OmegaTFT"
66,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.1,0.0,0.001,0.95,0.7279,0.2721,3.137885610237553,2.490575,199246,40754,25,607.1145161290323,31.895802000000003,"TitForTat,OmegaTFT"
67,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.1,0.0,0.001,0.99,0.5198375,0.4801625,3.007903854278388,1.329875,106390,133610,25,553.7758064516129,37.064631000000006,"TitForTat,OmegaTFT"
68,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.2,0.0,0.01,0.95,0.4718625,0.5281375,1.53019025302185,1.613725,129098,110902,26,452.35483870967744,33.67021199999999,"TitForTat,OmegaTFT"
69,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.2,0.0,0.01,0.99,0.5419875,0.4580125,3.281017397395141,1.4447375,115579,124421,25,607.083870967742,38.408258999999994,"TitForTat,OmegaTFT"
70,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.2,0.0,0.001,0.95,0.5645,0.4355,2.7308178648454344,1.3411875,107295,132705,25,609.45,38.815784,"TitForTat,OmegaTFT"
71,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 2, num_layers=3, batch_first=True)
  (_fc): Linear(in_features=2, out_features=2, bias=True)
)",1,2,3,0.2,0.0,0.001,0.99,0.583675,0.416325,3.5246079525347827,1.4713625,117709,122291,25,555.2209677419355,36.482734,"TitForTat,OmegaTFT"
72,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 4, batch_first=True)
  (_fc): Linear(in_features=4, out_features=2, bias=True)
)",1,4,1,0.05,0.0,0.01,0.95,0.9082625,0.0917375,0.8334898992003409,2.81175,224940,15060,25,620.6290322580645,25.33708100000001,"TitForTat,OmegaTFT"
73,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 4, batch_first=True)
  (_fc): Linear(in_features=4, out_features=2, bias=True)
)",1,4,1,0.05,0.0,0.01,0.99,0.6179375,0.3820625,2.7066105771571674,1.2753625,102029,137971,25,658.9032258064516,28.064560999999998,"TitForTat,OmegaTFT"
74,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 4, batch_first=True)
  (_fc): Linear(in_features=4, out_features=2, bias=True)
)",1,4,1,0.05,0.0,0.001,0.95,0.97,0.03,2.8532182973290903,2.9655125,237241,2759,25,579.8612903225807,24.248283999999995,"TitForTat,OmegaTFT"
75,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 4, batch_first=True)
  (_fc): Linear(in_features=4, out_features=2, bias=True)
)",1,4,1,0.05,0.0,0.001,0.99,0.7652375,0.2347625,4.656995438042441,1.7716125,141729,98271,25,650.1016129032258,28.242199000000003,"TitForTat,OmegaTFT"
