,Unnamed: 0,model,lookback,n1,n2,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
10,10,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,12,0.2,0.0,0.01,0.95,0.39349,0.60651,0.4383585408462646,2.2982,459640,140360,19,741.4048387096774,16.544056999999995,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
11,11,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,12,0.2,0.0,0.001,0.95,0.20173,0.79827,0.7326598399561312,2.156565,431313,168687,26,474.35967741935485,18.060785,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
12,12,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,16,0.1,0.0,0.01,0.95,0.95011,0.04989,2.381315,2.84123,568246,31754,24,732.6645161290322,17.046913999999997,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
13,13,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,16,0.1,0.0,0.001,0.95,0.950105,0.049895,2.3849275322246557,2.845375,569075,30925,22,701.6048387096774,16.137299000000002,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
14,14,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,16,0.2,0.0,0.01,0.95,0.365945,0.634055,0.4489103212403676,2.27387,454774,145226,28,449.2887096774194,17.640791999999998,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
15,15,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,16,0.2,0.0,0.001,0.95,0.26171,0.73829,0.8340481024808775,2.15548,431096,168904,30,429.71774193548384,17.841704,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
16,16,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,24,0.1,0.0,0.01,0.95,0.324365,0.675635,0.4290170757076433,2.33693,467386,132614,31,423.1629032258065,16.852893,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
17,17,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,24,0.1,0.0,0.001,0.95,0.950375,0.049625,2.349311493907785,2.84742,569484,30516,25,674.308064516129,15.565892999999996,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
18,18,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,24,0.2,0.0,0.01,0.95,0.145835,0.854165,1.11063285428561,2.25112,450224,149776,31,433.8112903225807,18.260398,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
19,19,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,24,0.2,0.0,0.001,0.95,0.53855,0.46145,0.5609119412787785,2.43803,487606,112394,25,680.2951612903225,16.162080000000003,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
20,20,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,32,0.1,0.0,0.01,0.95,0.050205,0.949795,1.794455899409856,2.292585,458517,141483,29,454.9016129032258,18.49179399999999,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
21,21,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,32,0.1,0.0,0.001,0.95,0.115175,0.884825,1.681755799430213,2.180305,436061,163939,26,483.4629032258064,19.790353000000003,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
22,22,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,32,0.2,0.0,0.01,0.95,0.899995,0.100005,2.2640917886698246,2.689835,537967,62033,17,761.7467741935484,17.015251000000003,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
23,23,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,32,0.2,0.0,0.001,0.95,0.117005,0.882995,1.4543000832772277,2.279085,455817,144183,31,431.6112903225807,17.828647999999998,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
24,24,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,4,0.1,0.0,0.01,0.95,0.949955,0.050045,2.38429756444335,2.844395,568879,31121,21,703.8612903225807,15.801236,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
25,25,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,4,0.1,0.0,0.001,0.95,0.48849,0.51151,0.6031911694877252,2.59688,519376,80624,30,435.4435483870968,18.599667,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
26,26,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,4,0.2,0.0,0.01,0.95,0.34698,0.65302,0.4514097537830146,2.28008,456016,143984,23,739.5645161290323,17.076986999999995,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
27,27,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,4,0.2,0.0,0.001,0.95,0.520165,0.479835,0.6168282676372396,2.43024,486048,113952,25,686.608064516129,16.132493999999998,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
28,28,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,8,0.1,0.0,0.01,0.95,0.33586,0.66414,0.4820966172867606,2.3861,477220,122780,26,476.23548387096776,19.802902,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
29,29,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,8,0.1,0.0,0.001,0.95,0.50522,0.49478,1.1195587234768274,2.421185,484237,115763,17,742.4306451612903,17.699382,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
30,30,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,8,0.2,0.0,0.01,0.95,0.89987,0.10013,2.260812505919297,2.68626,537252,62748,25,669.9354838709677,15.153723999999997,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
31,31,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,8,0.2,0.0,0.001,0.95,0.49387,0.50613,1.686969045958856,2.16324,432648,167352,25,571.1112903225807,17.663006,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
32,32,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,12,0.1,0.0,0.01,0.95,0.95029,0.04971,2.3883408438133022,2.84939,569878,30122,24,718.3112903225806,16.273652999999996,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
33,33,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,12,0.1,0.0,0.001,0.95,0.089455,0.910545,1.7200561926509557,2.218265,443653,156347,25,505.60483870967744,19.019062,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
34,34,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,12,0.2,0.0,0.01,0.95,0.900695,0.099305,2.266300760598304,2.692905,538581,61419,23,717.7596774193548,16.732578000000004,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
35,35,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,12,0.2,0.0,0.001,0.95,0.48119,0.51881,1.0810173438268047,2.31343,462686,137314,19,737.8725806451613,16.901846000000006,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
36,36,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,16,0.1,0.0,0.01,0.95,0.948165,0.051835,2.388047279041475,2.849105,569821,30179,25,679.35,15.529881999999995,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
37,37,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,16,0.1,0.0,0.001,0.95,0.106305,0.893695,1.7063303285234337,2.205165,441033,158967,30,428.3274193548387,18.639283,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
38,38,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,16,0.2,0.0,0.01,0.95,0.340095,0.659905,0.6263885898415967,2.27848,455696,144304,25,643.591935483871,14.981165000000004,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
39,39,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,16,0.2,0.0,0.001,0.95,0.523645,0.476355,0.605937495509784,2.489585,497917,102083,28,463.7983870967742,17.232308999999997,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
40,40,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,24,0.1,0.0,0.01,0.95,0.04968,0.95032,1.794555500422245,2.29315,458630,141370,27,449.5870967741935,18.789859,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
41,41,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,24,0.1,0.0,0.001,0.95,0.683425,0.316575,0.4384040913313707,2.70266,540532,59468,25,703.2435483870968,16.230987000000002,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
42,42,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,24,0.2,0.0,0.01,0.95,0.898785,0.101215,2.26088870947782,2.686075,537215,62785,24,708.1887096774194,16.448895,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
43,43,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=24, bias=True)
  (layer3): Linear(in_features=24, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,24,0.2,0.0,0.001,0.95,0.20103,0.79897,0.722164814262084,2.16645,433290,166710,25,565.8483870967742,16.736836,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
44,44,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,32,0.1,0.0,0.01,0.95,0.94946,0.05054,2.382284574327762,2.84235,568470,31530,18,764.7967741935483,17.559089,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
45,45,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,32,0.1,0.0,0.001,0.95,0.63624,0.36376,0.4414280007682868,2.66288,532576,67424,25,663.5209677419355,15.408320999999995,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
46,46,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,32,0.2,0.0,0.01,0.95,0.392155,0.607845,0.4468438728584347,2.29663,459326,140674,27,469.0919354838709,19.404837000000004,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
47,47,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=8, bias=True)
  (layer4): Linear(in_features=8, out_features=2, bias=True)
)",4,8,32,0.2,0.0,0.001,0.95,0.570755,0.429245,0.5227647717163492,2.515575,503115,96885,21,752.7193548387097,17.089554,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
48,48,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=12, bias=True)
  (layer2): Linear(in_features=12, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=12, bias=True)
  (layer4): Linear(in_features=12, out_features=2, bias=True)
)",4,12,4,0.1,0.0,0.01,0.95,0.04965,0.95035,1.7940581562818307,2.29259,458518,141482,25,492.1032258064516,21.501993999999996,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
49,49,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=12, bias=True)
  (layer2): Linear(in_features=12, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=12, bias=True)
  (layer4): Linear(in_features=12, out_features=2, bias=True)
)",4,12,4,0.1,0.0,0.001,0.95,0.690985,0.309015,0.4452370726511182,2.794135,558827,41173,16,747.9645161290323,16.787479000000005,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
50,50,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=12, bias=True)
  (layer2): Linear(in_features=12, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=12, bias=True)
  (layer4): Linear(in_features=12, out_features=2, bias=True)
)",4,12,4,0.2,0.0,0.01,0.95,0.341435,0.658565,0.5266790278494499,2.29902,459804,140196,29,439.9725806451613,18.76287600000001,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
51,51,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=12, bias=True)
  (layer2): Linear(in_features=12, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=12, bias=True)
  (layer4): Linear(in_features=12, out_features=2, bias=True)
)",4,12,4,0.2,0.0,0.001,0.95,0.664115,0.335885,0.8793143548576399,2.495155,499031,100969,25,660.3903225806451,17.064476,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
52,52,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=12, bias=True)
  (layer2): Linear(in_features=12, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=12, bias=True)
  (layer4): Linear(in_features=12, out_features=2, bias=True)
)",4,12,8,0.1,0.0,0.01,0.95,0.94999,0.05001,2.389854013103246,2.851255,570251,29749,20,731.1532258064516,16.128807000000002,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
